ID,1-MU-LA (x3 Con),3-MU-LA (x3 Con),4-MU-LA,6-MU-LA,8-MU-LA (x3 Con),9-MU-LA,12-MU-LA,14-MU-LA,15-MU-LA,18-MU-LA,31-MU-HM,32-MU-HM,34-MU-HM (x3 Con),35-MU-HM,36-MU-HM,37-MU-HM,38-MU-HM (x3 Con),39-MU-HM,40-MU-HM,20-MU-PM,21-MU-PM,22-MU-PM,23-MU-PM,24-MU-PM,25-MU-PM,26-MU-PM,27-MU-PM,28-MU-PM,30-MU-PM,41-MU-HPS (x3 Con),42-MU-HPS (x3 Con),43-MU-HPS (x3 Con),44-MU-HPS,46-MU-HPS,47-MU-HPS,48-MU-HPS (x3 Con),49-MU-HPS (x3 Con),50-MU-HPS,51-MU-PPS (x3 Con),52-MU-PPS (x3 Con),53-MU-PPS (x3 Con),54-MU-PPS (x3 Con),55-MU-PPS,56-MU-PPS (x3 Con),57-MU-PPS,58-MU-PPS (x3 Con),59-MU-PPS,60-MU-PPS (x3 Con),1-SK-LA,3-SK-LA,4-SK-LA,6-SK-LA,8-SK-LA (ran 2015),9-SK-LA,31-SK-HM,32-SK-HM,33-SK-HM,38-SK-HM,39-SK-HM,40-SK-HM,20-SK-PM,22-SK-PM,23-SK-PM,26-SK-PM,21-SK-PM,25-SK-PM,41-SK-HPS,42-SK-HPS,43-SK-HPS,47-SK-HPS,46-SK-HPS,48-SK-HPS,51-SK-PPS,52-SK-PPS,53-SK-PPS,56-SK-PPS,57-SK-PPS,58-SK-PPS
Tissue,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,skin,skin,skin,skin,skin,skin,skin,skin,skin,skin,skin,skin,skin,skin,skin,skin,skin,skin,skin,skin,skin,skin,skin,skin,skin,skin,skin,skin,skin,skin
Time,entry,entry,entry,entry,entry,entry,entry,entry,entry,entry,holding,holding,holding,holding,holding,holding,holding,holding,holding,holding,holding,holding,holding,holding,holding,holding,holding,holding,holding,post-spawn,post-spawn,post-spawn,post-spawn,post-spawn,post-spawn,post-spawn,post-spawn,post-spawn,post-spawn,post-spawn,post-spawn,post-spawn,post-spawn,post-spawn,post-spawn,post-spawn,post-spawn,post-spawn,entry,entry,entry,entry,entry,entry,holding,holding,holding,holding,holding,holding,holding,holding,holding,holding,holding,holding,post-spawn,post-spawn,post-spawn,post-spawn,post-spawn,post-spawn,post-spawn,post-spawn,post-spawn,post-spawn,post-spawn,post-spawn
Creek,both,both,both,both,both,both,both,both,both,both,H,H,H,H,H,H,H,H,H,P,P,P,P,P,P,P,P,P,P,H,H,H,H,H,H,H,H,H,P,P,P,P,P,P,P,P,P,P,NA,NA,NA,NA,NA,NA,H,H,H,H,H,H,P,P,P,P,P,P,H,H,H,H,H,H,P,P,P,P,P,P
Sex,F,M,M,F,M,F,M,F,F,M,M,M,M,M,F,F,F,F,F,M,F,M,M,M,F,F,F,F,M,F,F,F,F,M,M,M,M,M,M,M,M,M,M,F,F,F,F,F,F,M,M,F,M,F,M,M,M,F,F,F,M,M,M,F,F,F,F,F,F,M,M,M,M,M,M,F,F,F
22.1n11,0.0885,0.0917,0.1561,0.1302,0.0803,0.1588,0.1327,0.1497,0.0863,0.11,0.155,0.1923,0.222,0.1617,0.1606,0.1238,0.0616,0.1515,0.1589,0.1433,0.0859,0.0685,0.1211,0.1612,0.0911,0.0919,0.0733,0.0812,0.1275,0,0.0324,0.0267,0.0814,0.091,0,0.0773,0.0786,0.1114,0.018,0.0742,0.0323,0.0159,0.0758,0.0405,0.1108,0.0508,0.052,0.0453,0.1692,0.1847,0.1643,0.1364,0.1318,0.1378,0.1468,0.1325,0,0,0.2376,0.2133,0.0622,0.1042,0.0856,0.0334,0.1053,0.1641,0,0,0.071,0,0.168,0.0395,0,0,0,0,0,0
22.1n9,0,0,0,0,0,0.0214,0.018,0,0,0,0,0,0.027,0.0256,0.022,0.0176,0,0.02,0.0182,0.0171,0,0,0,0.0189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0194,0.0215,0.0191,0.0159,0,0.0175,0.0157,0,0,0.1244,0.0284,0.0215,0,0,0,0,0,0.0179,0,0,0,0,0,0,0,0,0,0,0.0873,0
24.1nx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0164,0,0,0,0,0.0175,0,0,0.0158,0.0179,0.0161,0.029,0.0323,0.0152,0,0,0,0.1063,0.0544,0,0,0.031,0.0486,0,0,0,0,0.067,0
18.2n6c,0,0,0,0,0,0,0,0,0,0.0193,0,0,0,0,0,0,0.0173,0.018,0,0.0167,0,0.0164,0,0,0.0194,0.0191,0.0176,0.0177,0.0185,0,0,0,0.0171,0,0,0,0,0,0,0,0,0,0,0.0157,0,0,0.0159,0,0.0175,0.0168,0.0166,0.0185,0.0179,0,0,0,0,0.0193,0,0,0,0,0.0156,0,0,0.0159,0,0,0,0,0,0,0,0,0,0,0,0
18.3n3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.4n3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0.0191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0165,0.0205,0,0,0,0,0.0235,0.0189,0.0231,0.0273,0,0,0,0,0,0.0395,0.0197,0.0261,0,0.039,0.043,0,0,0.0336
20.5n3 (EPA),0.1141,0.1087,0.0938,0.1081,0.1218,0.0608,0.1015,0.091,0.1112,0.0821,0.0681,0.0745,0.0635,0.052,0.0851,0.1215,0.1407,0.0693,0.0657,0.0624,0.1237,0.0974,0.0812,0.0611,0.0947,0.0922,0.0993,0.117,0.0559,0.2011,0.1898,0.1392,0.1077,0.116,0.1692,0.1237,0.147,0.1002,0.1594,0.1156,0.1204,0.1674,0.1243,0.1347,0.113,0.1763,0.1383,0.1569,0.0341,0.0295,0.037,0.0484,0.0631,0.0504,0.0576,0.0843,0.1242,0.0839,0.0371,0.0497,0.0938,0.0715,0.0919,0.1406,0.0858,0.0462,0.0704,0.0959,0.0783,0.1069,0.0491,0.0893,0.0752,0.0689,0.1332,0.0637,0.0399,0.1309
22.5n3,0.0302,0.0245,0,0,0.0214,0.0177,0.0184,0.0275,0.0313,0.0185,0.0241,0.0234,0.0232,0.0213,0.0316,0.0394,0.0583,0.0251,0.031,0.0194,0.0419,0.027,0.0229,0.0219,0.0332,0.0386,0.0364,0.0414,0.0231,0.0453,0.0511,0.0396,0.0308,0.0263,0.0339,0.0428,0.0432,0.0223,0.0416,0.0329,0.0399,0.0373,0.0352,0.045,0.0302,0.0399,0.0318,0.0395,0,0,0,0,0,0.0159,0.0157,0.0201,0,0.0435,0.0199,0.0243,0.0188,0.0155,0.0229,0.0389,0.0318,0.0209,0,0,0,0,0,0,0,0,0,0,0,0
22.6n3 (DHA),0.3128,0.3066,0.202,0.2915,0.343,0.1416,0.1902,0.2572,0.1624,0.1334,0.2219,0.1999,0.1759,0.173,0.1774,0.2555,0.2869,0.1174,0.1397,0.1606,0.2773,0.2568,0.2096,0.1627,0.1809,0.178,0.1771,0.2055,0.1319,0.4784,0.3527,0.434,0.2194,0.3081,0.3365,0.3539,0.3515,0.2236,0.3961,0.3417,0.4184,0.4031,0.2658,0.3673,0.21,0.3276,0.3518,0.3495,0.0321,0.0254,0.0287,0.043,0.0684,0.0552,0.1001,0.143,0.2434,0.1024,0.0818,0.0626,0.1356,0.096,0.1354,0.1401,0.0949,0.0627,0.0926,0.1247,0.1103,0.1622,0.0875,0.1148,0.1143,0.1208,0.1297,0.1192,0,0.0367
EPA:DHA ratio,0.3648,0.3544,0.4643,0.3709,0.3551,0.4293,0.5335,0.3537,0.6848,0.6154,0.3068,0.3729,0.3609,0.3006,0.48,0.4753,0.4906,0.5899,0.47,0.3888,0.4461,0.3793,0.3876,0.3755,0.5234,0.5182,0.5607,0.5693,0.424,0.4203,0.5381,0.3207,0.4906,0.3764,0.5028,0.3495,0.4182,0.448,0.4024,0.3383,0.2877,0.4152,0.4675,0.3667,0.5381,0.5383,0.393,0.4489,1.0617,1.1611,1.2898,1.127,0.9226,0.912,0.5752,0.5898,0.5104,0.8195,0.454,0.7938,0.6913,0.7447,0.6789,1.0036,0.9041,0.7361,0.7603,0.7687,0.7096,0.6593,0.5613,0.778,0.6581,0.5706,1.0272,0.5342,NA,3.5687
w3:w6 ratio,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1416,NA,NA,NA,NA,NA,NA,29.4949,11.7755,NA,14.5012,NA,23.1777,NA,NA,15.8999,16.1567,17.8164,20.5446,11.3782,NA,NA,NA,20.9055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.9438,NA,NA,32.764,NA,3.7775,3.2549,3.9719,4.9393,7.3245,NA,10.4787,12.0796,NA,11.9028,NA,NA,10.5626,9.6574,6.4699,11.6885,NA,8.1477,NA,NA,NA,6.8134,6.9444,7.8093,NA,4.8599,6.1189,NA,NA,4.9872
SFA,0.1932,0.2019,0.1546,0.1442,0.1747,0.1331,0.1801,0.1345,0.2129,0.1794,0.117,0.1067,0.0677,0.0852,0.0882,0.0934,0.1229,0.1212,0.0976,0.1687,0.1135,0.2183,0.2079,0.1417,0.1764,0.1937,0.1957,0.1961,0.2021,0.1695,0.1893,0.2017,0.2132,0.2382,0.2664,0.1821,0.1626,0.227,0.2515,0.1973,0.2632,0.2521,0.1929,0.2303,0.1839,0.2372,0.2381,0.2492,0.2136,0.1783,0.2273,0.2097,0.2422,0.2133,0.2034,0.2273,0.3564,0.1651,0.0929,0.1072,0.3216,0.3208,0.2441,0.3138,0.2564,0.2045,0.5442,0.4751,0.4281,0.3495,0.3329,0.4104,0.5983,0.5489,0.4404,0.5594,0.3843,0.4609
MUFA,0.3497,0.3584,0.5495,0.4562,0.339,0.6468,0.5099,0.4899,0.4821,0.5674,0.5689,0.5955,0.6697,0.6685,0.6178,0.4901,0.3509,0.649,0.6661,0.5721,0.4437,0.3842,0.4784,0.6126,0.4953,0.4785,0.4741,0.4222,0.5685,0.0866,0.217,0.1855,0.4117,0.3114,0.1746,0.2976,0.2956,0.427,0.1513,0.3125,0.1581,0.1402,0.3819,0.2071,0.4629,0.2189,0.2241,0.2049,0.7027,0.75,0.6904,0.6804,0.6084,0.6652,0.6068,0.5048,0.276,0.5857,0.7683,0.7562,0.4067,0.4773,0.467,0.3392,0.5311,0.6498,0.2927,0.3042,0.3833,0.3419,0.5107,0.3594,0.2122,0.2223,0.2538,0.2578,0.5758,0.3379
PUFA,0.4571,0.4397,0.2958,0.3996,0.4863,0.2201,0.31,0.3756,0.3049,0.2532,0.3141,0.2978,0.2626,0.2463,0.2941,0.4165,0.5262,0.2299,0.2363,0.2592,0.4428,0.3975,0.3137,0.2456,0.3282,0.3278,0.3302,0.3817,0.2294,0.7439,0.5936,0.6128,0.3751,0.4504,0.559,0.5204,0.5418,0.3461,0.5972,0.4902,0.5787,0.6077,0.4253,0.5626,0.3532,0.5439,0.5378,0.5459,0.0837,0.0717,0.0823,0.1099,0.1494,0.1215,0.1899,0.2679,0.3676,0.2492,0.1388,0.1365,0.2718,0.2019,0.2889,0.347,0.2125,0.1457,0.1631,0.2206,0.1886,0.3086,0.1563,0.2302,0.1894,0.2288,0.3058,0.1828,0.0399,0.2012
